ID	instant_temp	total_energy	total_potential	lambda	binding_energy
207	3.02326e+02	-8.82094e+03	-1.23433e+04	1.00000e+00	-3.84645e+01
208	2.99786e+02	-8.81397e+03	-1.23068e+04	1.00000e+00	-3.73698e+01
209	2.98590e+02	-8.81126e+03	-1.22901e+04	1.00000e+00	-3.80225e+01
210	3.02429e+02	-8.81521e+03	-1.23388e+04	1.00000e+00	-3.42139e+01
211	2.96809e+02	-8.85889e+03	-1.23170e+04	1.00000e+00	-3.52080e+01
212	2.99237e+02	-8.91900e+03	-1.24054e+04	1.00000e+00	-3.42402e+01
213	2.99583e+02	-8.90039e+03	-1.23908e+04	1.00000e+00	-3.20181e+01
214	2.95879e+02	-8.89576e+03	-1.23430e+04	1.00000e+00	-3.16976e+01
215	2.94734e+02	-8.88189e+03	-1.23158e+04	1.00000e+00	-2.82100e+01
216	3.02437e+02	-8.89682e+03	-1.24205e+04	1.00000e+00	-3.33584e+01
217	2.98812e+02	-8.88156e+03	-1.23630e+04	1.00000e+00	-3.22965e+01
218	2.97670e+02	-8.90307e+03	-1.23712e+04	1.00000e+00	-3.19323e+01
219	3.03164e+02	-8.91048e+03	-1.24426e+04	1.00000e+00	-3.52490e+01
220	3.04083e+02	-8.85789e+03	-1.24007e+04	1.00000e+00	-3.51593e+01
221	2.96137e+02	-8.84693e+03	-1.22972e+04	1.00000e+00	-3.79720e+01
222	2.99249e+02	-8.88021e+03	-1.23667e+04	1.00000e+00	-3.77056e+01
223	2.97697e+02	-8.89081e+03	-1.23593e+04	1.00000e+00	-3.90713e+01
224	2.99950e+02	-8.87489e+03	-1.23696e+04	1.00000e+00	-3.57503e+01
225	3.01022e+02	-8.87119e+03	-1.23784e+04	1.00000e+00	-3.60483e+01
226	2.99443e+02	-8.90775e+03	-1.23965e+04	1.00000e+00	-2.75382e+01
227	2.99759e+02	-8.91138e+03	-1.24038e+04	1.00000e+00	-3.93064e+01
228	2.95806e+02	-8.92915e+03	-1.23756e+04	1.00000e+00	-3.76581e+01
229	2.98265e+02	-8.89277e+03	-1.23678e+04	1.00000e+00	-3.55183e+01
230	2.99462e+02	-8.90696e+03	-1.23960e+04	1.00000e+00	-3.54541e+01
231	2.98911e+02	-8.89285e+03	-1.23754e+04	1.00000e+00	-3.72315e+01
232	3.05016e+02	-8.86763e+03	-1.24213e+04	1.00000e+00	-4.07916e+01
233	2.96754e+02	-8.88377e+03	-1.23412e+04	1.00000e+00	-4.34597e+01
234	3.00101e+02	-8.85518e+03	-1.23516e+04	1.00000e+00	-3.77128e+01
235	3.07814e+02	-8.83788e+03	-1.24242e+04	1.00000e+00	-3.54167e+01
236	3.01683e+02	-8.87413e+03	-1.23890e+04	1.00000e+00	-3.35882e+01
237	2.96524e+02	-8.89511e+03	-1.23499e+04	1.00000e+00	-3.24326e+01
238	2.97615e+02	-8.88833e+03	-1.23558e+04	1.00000e+00	-3.69206e+01
239	2.93876e+02	-8.87829e+03	-1.23022e+04	1.00000e+00	-3.86053e+01
240	3.00966e+02	-8.89802e+03	-1.24046e+04	1.00000e+00	-3.63032e+01
241	2.99363e+02	-8.93418e+03	-1.24220e+04	1.00000e+00	-4.26338e+01
242	3.01490e+02	-8.93182e+03	-1.24445e+04	1.00000e+00	-4.26661e+01
243	2.94147e+02	-8.93597e+03	-1.23631e+04	1.00000e+00	-3.85190e+01
244	2.95041e+02	-8.95673e+03	-1.23942e+04	1.00000e+00	-3.81462e+01
245	2.94255e+02	-8.96396e+03	-1.23923e+04	1.00000e+00	-3.47855e+01
246	2.96613e+02	-8.96470e+03	-1.24205e+04	1.00000e+00	-3.92620e+01
247	2.95839e+02	-8.91354e+03	-1.23603e+04	1.00000e+00	-3.77953e+01
248	2.98605e+02	-8.88996e+03	-1.23690e+04	1.00000e+00	-3.90832e+01
249	2.97099e+02	-8.87183e+03	-1.23333e+04	1.00000e+00	-4.01044e+01
250	3.03673e+02	-8.86203e+03	-1.24001e+04	1.00000e+00	-3.36702e+01
251	3.01697e+02	-8.86802e+03	-1.23831e+04	1.00000e+00	-4.22491e+01
252	2.99506e+02	-8.84435e+03	-1.23339e+04	1.00000e+00	-4.21901e+01
253	2.98985e+02	-8.85504e+03	-1.23385e+04	1.00000e+00	-4.44105e+01
254	3.01041e+02	-8.80373e+03	-1.23111e+04	1.00000e+00	-3.75694e+01
255	3.07210e+02	-8.79279e+03	-1.23721e+04	1.00000e+00	-3.38897e+01
256	3.03386e+02	-8.83044e+03	-1.23652e+04	1.00000e+00	-3.56686e+01
257	3.01985e+02	-8.84857e+03	-1.23670e+04	1.00000e+00	-3.56436e+01
258	3.01037e+02	-8.85814e+03	-1.23655e+04	1.00000e+00	-3.45844e+01
259	3.02188e+02	-8.83952e+03	-1.23603e+04	1.00000e+00	-4.02726e+01
260	3.02133e+02	-8.85129e+03	-1.23714e+04	1.00000e+00	-3.73901e+01
261	3.01189e+02	-8.88539e+03	-1.23945e+04	1.00000e+00	-3.98575e+01
262	2.95611e+02	-8.87283e+03	-1.23170e+04	1.00000e+00	-3.75035e+01
263	3.01014e+02	-8.89319e+03	-1.24003e+04	1.00000e+00	-3.99547e+01
264	2.98506e+02	-8.91144e+03	-1.23893e+04	1.00000e+00	-4.00431e+01
265	3.00392e+02	-8.88400e+03	-1.23838e+04	1.00000e+00	-3.75625e+01
266	3.03833e+02	-8.87651e+03	-1.24164e+04	1.00000e+00	-4.19651e+01
267	3.00586e+02	-8.88846e+03	-1.23906e+04	1.00000e+00	-4.18196e+01
268	3.01686e+02	-8.86800e+03	-1.23829e+04	1.00000e+00	-4.35692e+01
269	3.00507e+02	-8.86033e+03	-1.23615e+04	1.00000e+00	-3.49908e+01
270	3.01999e+02	-8.86931e+03	-1.23879e+04	1.00000e+00	-3.92272e+01
271	2.99410e+02	-8.83698e+03	-1.23254e+04	1.00000e+00	-4.06604e+01
272	3.03851e+02	-8.81084e+03	-1.23510e+04	1.00000e+00	-3.98380e+01
273	3.01524e+02	-8.81648e+03	-1.23295e+04	1.00000e+00	-4.06531e+01
274	2.97097e+02	-8.86305e+03	-1.23245e+04	1.00000e+00	-4.36108e+01
275	3.01393e+02	-8.83487e+03	-1.23464e+04	1.00000e+00	-4.00358e+01
276	2.99571e+02	-8.83395e+03	-1.23242e+04	1.00000e+00	-3.73719e+01
277	3.02116e+02	-8.80288e+03	-1.23228e+04	1.00000e+00	-3.44712e+01
278	3.06263e+02	-8.73127e+03	-1.22995e+04	1.00000e+00	-4.16765e+01
279	3.09633e+02	-8.74445e+03	-1.23520e+04	1.00000e+00	-3.78505e+01
280	3.05099e+02	-8.72110e+03	-1.22758e+04	1.00000e+00	-3.86185e+01
281	3.11214e+02	-8.70211e+03	-1.23280e+04	1.00000e+00	-3.97578e+01
282	3.05340e+02	-8.69202e+03	-1.22495e+04	1.00000e+00	-4.13820e+01
283	3.05570e+02	-8.70393e+03	-1.22641e+04	1.00000e+00	-3.97317e+01
284	3.01524e+02	-8.76106e+03	-1.22741e+04	1.00000e+00	-4.22011e+01
285	3.06113e+02	-8.75659e+03	-1.23231e+04	1.00000e+00	-3.90953e+01
286	3.09370e+02	-8.76801e+03	-1.23724e+04	1.00000e+00	-4.19905e+01
287	3.03280e+02	-8.75863e+03	-1.22921e+04	1.00000e+00	-4.44886e+01
288	3.05168e+02	-8.76561e+03	-1.23211e+04	1.00000e+00	-3.55619e+01
289	3.11567e+02	-8.70376e+03	-1.23338e+04	1.00000e+00	-3.68750e+01
290	3.10016e+02	-8.67879e+03	-1.22908e+04	1.00000e+00	-3.94164e+01
291	3.05860e+02	-8.69508e+03	-1.22586e+04	1.00000e+00	-3.75849e+01
292	3.07138e+02	-8.69827e+03	-1.22767e+04	1.00000e+00	-4.08745e+01
293	3.06595e+02	-8.71896e+03	-1.22911e+04	1.00000e+00	-3.70684e+01
294	3.07580e+02	-8.74069e+03	-1.23243e+04	1.00000e+00	-3.50574e+01
295	3.08289e+02	-8.72207e+03	-1.23139e+04	1.00000e+00	-3.28168e+01
296	3.01941e+02	-8.76419e+03	-1.22821e+04	1.00000e+00	-3.68387e+01
297	3.06701e+02	-8.74935e+03	-1.23227e+04	1.00000e+00	-3.29121e+01
298	3.03992e+02	-8.72697e+03	-1.22687e+04	1.00000e+00	-3.39504e+01
299	3.04745e+02	-8.74273e+03	-1.22933e+04	1.00000e+00	-3.45852e+01
